sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,custom_material_care,custom_size_fit,description,gallery,has_options,image,image_label,media_gallery,men_brands,men_color,custom_size,men_designer,women_designer,meta_description,meta_keyword,meta_title,minimal_price,name,options_container,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,disclaimer,status,supplier,thumbnail,thumbnail_label,updated_at,url_key,url_path,tax_class_id,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,use_config_enable_qty_inc,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,transfer_price,tax_percentage,tax_value,tax_type,gmv,net_margin,net_margin_val,credit_period,payment_to_be_made,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
18761809-6,,Men,simple,,,base,"Clean your shoes with mild cleaning foam & lukewarm water, and use a good quality brush to remove loose surface dirt. To remove stains use a shoe stain remover. If your shoes are wet after cleaning, let them air-dry in room temperature only and avoid expo",Sports,"Get ready for your workout session wearing these running shoes from PUMA. A perfect pick for urban men, these lace-ups offer great stability, cushioning and traction. Synthetic upper makes these lace-ups perfect for rough and tough use, Mesh lining for enhanced breathability, Rubber sole offers great traction on the surface.",,0,/18761809.jpg,,,Puma,Grey,6,,,,,,,Puma Grey & Yellow Running Shoe,Product Info Column,3499,0,,/18761809.jpg,,,1899,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,1,nk_wla001,/18761809.jpg,,,,,0,1,800gm,1,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,1,88,/18761809.jpg,,1,0,1338.67,12.50%,167.33,VAT,560.33,21%,393,,1506,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_1.jpg,hover,2,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_2.jpg,,3,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_3.jpg,,4,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_4.jpg,,5,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_5.jpg,,6,0,,,,,,,,,,,,,
18761809-7,,Men,simple,,,base,"Clean your shoes with mild cleaning foam & lukewarm water, and use a good quality brush to remove loose surface dirt. To remove stains use a shoe stain remover. If your shoes are wet after cleaning, let them air-dry in room temperature only and avoid expo",Sports,"Get ready for your workout session wearing these running shoes from PUMA. A perfect pick for urban men, these lace-ups offer great stability, cushioning and traction. Synthetic upper makes these lace-ups perfect for rough and tough use, Mesh lining for enhanced breathability, Rubber sole offers great traction on the surface.",,0,/18761809.jpg,,,Puma,Grey,7,,,,,,,Puma Grey & Yellow Running Shoe,Product Info Column,3499,0,,/18761809.jpg,,,1899,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,1,nk_wla001,/18761809.jpg,,,,,0,1,800gm,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,1,88,/18761809.jpg,,1,0,1338.67,12.50%,167.33,VAT,560.33,21%,393,,1506,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_1.jpg,hover,2,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_2.jpg,,3,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_3.jpg,,4,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_4.jpg,,5,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_5.jpg,,6,0,,,,,,,,,,,,,
18761809-8,,Men,simple,,,base,"Clean your shoes with mild cleaning foam & lukewarm water, and use a good quality brush to remove loose surface dirt. To remove stains use a shoe stain remover. If your shoes are wet after cleaning, let them air-dry in room temperature only and avoid expo",Sports,"Get ready for your workout session wearing these running shoes from PUMA. A perfect pick for urban men, these lace-ups offer great stability, cushioning and traction. Synthetic upper makes these lace-ups perfect for rough and tough use, Mesh lining for enhanced breathability, Rubber sole offers great traction on the surface.",,0,/18761809.jpg,,,Puma,Grey,8,,,,,,,Puma Grey & Yellow Running Shoe,Product Info Column,3499,0,,/18761809.jpg,,,1899,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,1,v000007,/18761809.jpg,,,,,0,1,800gm,18,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,1,88,/18761809.jpg,,1,0,1338.67,12.50%,167.33,VAT,560.33,21%,393,,1506,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_1.jpg,hover,2,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_2.jpg,,3,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_3.jpg,,4,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_4.jpg,,5,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_5.jpg,,6,0,,,,,,,,,,,,,
18761809-9,,Men,simple,,,base,"Clean your shoes with mild cleaning foam & lukewarm water, and use a good quality brush to remove loose surface dirt. To remove stains use a shoe stain remover. If your shoes are wet after cleaning, let them air-dry in room temperature only and avoid expo",Sports,"Get ready for your workout session wearing these running shoes from PUMA. A perfect pick for urban men, these lace-ups offer great stability, cushioning and traction. Synthetic upper makes these lace-ups perfect for rough and tough use, Mesh lining for enhanced breathability, Rubber sole offers great traction on the surface.",,0,/18761809.jpg,,,Puma,Grey,9,,,,,,,Puma Grey & Yellow Running Shoe,Product Info Column,3499,0,,/18761809.jpg,,,1899,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,1,v000007,/18761809.jpg,,,,,0,1,800gm,36,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,1,88,/18761809.jpg,,1,0,1338.67,12.50%,167.33,VAT,560.33,21%,393,,1506,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_1.jpg,hover,2,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_2.jpg,,3,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_3.jpg,,4,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_4.jpg,,5,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_5.jpg,,6,0,,,,,,,,,,,,,
18761809-10,,Men,simple,,,base,"Clean your shoes with mild cleaning foam & lukewarm water, and use a good quality brush to remove loose surface dirt. To remove stains use a shoe stain remover. If your shoes are wet after cleaning, let them air-dry in room temperature only and avoid expo",Sports,"Get ready for your workout session wearing these running shoes from PUMA. A perfect pick for urban men, these lace-ups offer great stability, cushioning and traction. Synthetic upper makes these lace-ups perfect for rough and tough use, Mesh lining for enhanced breathability, Rubber sole offers great traction on the surface.",,0,/18761809.jpg,,,Puma,Grey,10,,,,,,,Puma Grey & Yellow Running Shoe,Product Info Column,3499,0,,/18761809.jpg,,,1899,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,1,v000007,/18761809.jpg,,,,,0,1,800gm,2,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,1,88,/18761809.jpg,,1,0,1338.67,12.50%,167.33,VAT,560.33,21%,393,,1506,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_1.jpg,hover,2,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_2.jpg,,3,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_3.jpg,,4,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_4.jpg,,5,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_5.jpg,,6,0,,,,,,,,,,,,,
18761809-11,,Men,simple,,,base,"Clean your shoes with mild cleaning foam & lukewarm water, and use a good quality brush to remove loose surface dirt. To remove stains use a shoe stain remover. If your shoes are wet after cleaning, let them air-dry in room temperature only and avoid expo",Sports,"Get ready for your workout session wearing these running shoes from PUMA. A perfect pick for urban men, these lace-ups offer great stability, cushioning and traction. Synthetic upper makes these lace-ups perfect for rough and tough use, Mesh lining for enhanced breathability, Rubber sole offers great traction on the surface.",,0,/18761809.jpg,,,Puma,Grey,11,,,,,,,Puma Grey & Yellow Running Shoe,Product Info Column,3499,0,,/18761809.jpg,,,1899,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,1,v000007,/18761809.jpg,,,,,0,1,800gm,2,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,1,88,/18761809.jpg,,1,0,1338.67,12.50%,167.33,VAT,560.33,21%,393,,1506,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_1.jpg,hover,2,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_2.jpg,,3,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_3.jpg,,4,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_4.jpg,,5,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_5.jpg,,6,0,,,,,,,,,,,,,
18761809,,Men,configurable,Men,Default Category,base,"Clean your shoes with mild cleaning foam & lukewarm water, and use a good quality brush to remove loose surface dirt. To remove stains use a shoe stain remover. If your shoes are wet after cleaning, let them air-dry in room temperature only and avoid expo",Sports,"Get ready for your workout session wearing these running shoes from PUMA. A perfect pick for urban men, these lace-ups offer great stability, cushioning and traction. Synthetic upper makes these lace-ups perfect for rough and tough use, Mesh lining for enhanced breathability, Rubber sole offers great traction on the surface.",,1,/18761809.jpg,,,Puma,Grey,,,,,,,,Puma Grey & Yellow Running Shoe,Product Info Column,3499,1,,/18761809.jpg,,,1899,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,1,v000007,/18761809.jpg,,,,,0,4,800gm,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,1,88,/18761809.jpg,,1,0,1338.67,12.50%,167.33,VAT,560.33,21%,393,,1506,18761809-6,custom_size,6,
,,,,Men/Footwear,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_1.jpg,hover,2,0,,,,,,,,,,18761809-7,custom_size,7,
,,,,Men/Footwear/Sports Shoes,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_2.jpg,,3,0,,,,,,,,,,18761809-8,custom_size,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_3.jpg,,4,0,,,,,,,,,,18761809-9,custom_size,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_4.jpg,,5,0,,,,,,,,,,18761809-10,custom_size,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/18761809_5.jpg,,6,0,,,,,,,,,,18761809-11,custom_size,11,
